,"('12TH',)","('16TH',)","('19TH',)","('24TH',)","('ANTC',)","('ASHB',)","('BALB',)","('BAYF',)","('CAST',)","('CIVC',)","('COLM',)","('COLS',)","('CONC',)","('DALY',)","('DBRK',)","('DELN',)","('DUBL',)","('EMBR',)","('FRMT',)","('FTVL',)","('GLEN',)","('HAYW',)","('LAFY',)","('LAKE',)","('MCAR',)","('MLBR',)","('MONT',)","('NBRK',)","('OAKL',)","('ORIN',)","('PCTR',)","('PHIL',)","('PITT',)","('PLZA',)","('POWL',)","('RICH',)","('ROCK',)","('SANL',)","('SBRN',)","('SFIA',)","('SHAY',)","('SSAN',)","('UCTY',)","('WARM',)","('WCRK',)","('WDUB',)","('WOAK',)","('NCON',)","('BERY',)","('MLPT',)"
"('POWL',)",293824.0,460507.0,284563.0,590003.0,85763.0,132681.0,714398.0,175134.0,88608.0,93110.0,188395.0,160754.0,151661.0,460565.0,244803.0,268240.0,237740.0,146756.0,126333.0,266475.0,374072.0,107081.0,85120.0,216567.0,245477.0,204027.0,50320.0,118576.0,29955.0,80527.0,31362.0,195035.0,133592.0,133548.0,60584.0,150714.0,178511.0,190980.0,140893.0,275911.0,73982.0,137958.0,113321.0,95419.0,158015.0,97743.0,346860.0,58667.0,0.0,0.0
"('RICH',)",54972.0,52376.0,49740.0,52658.0,3919.0,29786.0,19126.0,7034.0,1490.0,95153.0,5017.0,22815.0,6860.0,27183.0,132250.0,35272.0,4141.0,150067.0,7707.0,27592.0,13249.0,9712.0,2272.0,12931.0,44216.0,7413.0,145076.0,21303.0,3203.0,2622.0,2832.0,4752.0,5485.0,28236.0,129564.0,9459.0,7137.0,12098.0,6409.0,19406.0,5397.0,4226.0,5535.0,5718.0,7060.0,1749.0,7582.0,1116.0,0.0,0.0
"('ROCK',)",49267.0,60482.0,50515.0,33343.0,10693.0,3551.0,11799.0,3974.0,1690.0,161342.0,1641.0,14650.0,24335.0,10939.0,13128.0,9059.0,3315.0,355950.0,4062.0,16329.0,15464.0,4650.0,21167.0,9723.0,18500.0,7731.0,283560.0,4739.0,4547.0,16802.0,5000.0,34236.0,11367.0,9014.0,138898.0,7199.0,8744.0,6837.0,3760.0,45549.0,1793.0,3224.0,2976.0,4756.0,44098.0,1548.0,6729.0,6166.0,0.0,0.0
"('SANL',)",94542.0,43571.0,66561.0,28560.0,4698.0,13706.0,18219.0,34848.0,11734.0,133503.0,2261.0,53648.0,8244.0,28129.0,53152.0,16967.0,29816.0,278838.0,29044.0,65458.0,12229.0,41566.0,2043.0,87826.0,32773.0,3500.0,238726.0,8457.0,2205.0,2549.0,1917.0,6663.0,4583.0,9366.0,154032.0,11902.0,6791.0,6524.0,3607.0,14779.0,18355.0,3544.0,24472.0,23032.0,7009.0,17939.0,11387.0,2210.0,0.0,0.0
"('SBRN',)",24501.0,44005.0,20333.0,39737.0,7385.0,4094.0,33125.0,4504.0,1999.0,107611.0,14454.0,7330.0,7634.0,41192.0,11974.0,11136.0,4095.0,167132.0,2416.0,7255.0,20912.0,3489.0,2577.0,5057.0,8422.0,11304.0,213795.0,2898.0,1328.0,2135.0,2896.0,8746.0,7454.0,3558.0,122536.0,6455.0,3948.0,3925.0,6884.0,16436.0,2393.0,9950.0,1370.0,647.0,6265.0,1559.0,7456.0,3141.0,0.0,0.0
"('SFIA',)",46816.0,67842.0,34706.0,59562.0,33647.0,20578.0,45680.0,10220.0,7575.0,150385.0,50555.0,13869.0,45330.0,77489.0,56387.0,43052.0,42581.0,132303.0,11656.0,21941.0,37972.0,8239.0,32895.0,12066.0,39943.0,85652.0,135589.0,31057.0,7070.0,29371.0,6177.0,60136.0,37489.0,24934.0,358658.0,19339.0,49234.0,16928.0,21309.0,21217.0,6128.0,21563.0,8573.0,6470.0,58678.0,13795.0,38659.0,17001.0,0.0,0.0
"('SHAY',)",47927.0,22004.0,40325.0,12858.0,2232.0,5843.0,5223.0,18443.0,3773.0,64947.0,1602.0,27815.0,3161.0,12680.0,22851.0,7131.0,11471.0,143323.0,31091.0,24119.0,4153.0,28244.0,618.0,25137.0,13747.0,1174.0,119308.0,2566.0,1948.0,778.0,876.0,2048.0,2281.0,2587.0,64425.0,5266.0,2018.0,19306.0,2347.0,5834.0,5136.0,1548.0,19021.0,25421.0,3211.0,6590.0,3949.0,496.0,2.0,2.0
"('SSAN',)",25658.0,42080.0,19681.0,31344.0,5845.0,2798.0,17765.0,2979.0,1309.0,107676.0,5782.0,6080.0,6729.0,21563.0,10556.0,8611.0,6651.0,174888.0,1344.0,4322.0,9630.0,2100.0,1721.0,3509.0,7007.0,18111.0,213832.0,2050.0,875.0,1987.0,1611.0,6798.0,5777.0,2182.0,122060.0,4079.0,3262.0,4080.0,10614.0,17942.0,1723.0,5270.0,1565.0,1248.0,6258.0,1870.0,5371.0,2421.0,0.0,0.0
"('UCTY',)",63846.0,26357.0,56566.0,10906.0,2662.0,9482.0,5321.0,24312.0,4726.0,89075.0,1767.0,32420.0,4478.0,15266.0,42968.0,9478.0,18049.0,282098.0,61293.0,22959.0,4378.0,51196.0,916.0,33811.0,19654.0,965.0,218063.0,5579.0,4508.0,982.0,857.0,3814.0,2603.0,4930.0,90607.0,5218.0,3169.0,23587.0,1356.0,6319.0,20333.0,1331.0,8392.0,28612.0,4213.0,8670.0,4337.0,623.0,2.0,2.0
"('WARM',)",52844.0,25333.0,59606.0,9493.0,4487.0,10970.0,4806.0,24113.0,5457.0,75796.0,897.0,49065.0,5722.0,11933.0,56914.0,13750.0,13673.0,241363.0,31712.0,24983.0,4335.0,37648.0,1459.0,31696.0,19203.0,512.0,215808.0,7979.0,3668.0,1961.0,2014.0,5544.0,4558.0,7896.0,83171.0,5520.0,4351.0,23059.0,806.0,4621.0,28092.0,1163.0,30401.0,11363.0,4652.0,5800.0,4751.0,1846.0,3.0,2.0
"('WCRK',)",83178.0,32268.0,86185.0,19654.0,27945.0,6046.0,10634.0,3227.0,1243.0,119158.0,4368.0,17165.0,66685.0,16839.0,35127.0,7997.0,1658.0,440810.0,3450.0,11187.0,11657.0,5169.0,17159.0,8065.0,40242.0,6977.0,335352.0,6921.0,9972.0,11494.0,12596.0,32802.0,37034.0,7008.0,123167.0,6654.0,42912.0,6396.0,5743.0,54251.0,3154.0,5932.0,4635.0,4538.0,10018.0,726.0,5053.0,13487.0,0.0,0.0
"('WDUB',)",35854.0,21815.0,32820.0,10426.0,537.0,3327.0,6570.0,21301.0,20301.0,71159.0,1005.0,33021.0,1282.0,12432.0,14365.0,3473.0,15119.0,261960.0,7018.0,19653.0,7052.0,9969.0,216.0,28487.0,6305.0,1841.0,182721.0,1786.0,7979.0,323.0,309.0,999.0,604.0,1851.0,77441.0,1821.0,1600.0,17663.0,1366.0,10436.0,6307.0,1900.0,8355.0,5152.0,683.0,6368.0,3242.0,272.0,0.0,0.0
"('WOAK',)",26630.0,124464.0,20122.0,73829.0,5378.0,7996.0,24183.0,10435.0,3415.0,275688.0,4595.0,26738.0,5659.0,22713.0,23117.0,11088.0,8755.0,650862.0,4301.0,27202.0,21533.0,9237.0,1568.0,10492.0,14192.0,12314.0,491133.0,4466.0,2535.0,1287.0,2453.0,4402.0,5300.0,4310.0,327016.0,7912.0,6887.0,12278.0,7722.0,43023.0,4477.0,6447.0,4215.0,5638.0,5645.0,3656.0,10259.0,1491.0,0.0,0.0
"('NCON',)",35096.0,16342.0,35152.0,9043.0,6725.0,1643.0,3702.0,1212.0,375.0,53404.0,1408.0,5850.0,13487.0,11422.0,8996.0,1533.0,415.0,110531.0,1011.0,2004.0,5328.0,2645.0,2963.0,2475.0,11492.0,1756.0,99244.0,1215.0,3077.0,1564.0,4377.0,10987.0,6214.0,1018.0,52420.0,1174.0,5992.0,2413.0,2978.0,17147.0,644.0,2123.0,608.0,2216.0,14240.0,343.0,1613.0,3769.0,0.0,0.0
"('BERY',)",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,256.0,2.0
"('MLPT',)",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,304.0
