,INTPTLAT,INTPTLON,TotPop,AutoOwn0,AutoOwn1,AutoOwn2p,TotEmp,E_LowWageWk,E_MedWageWk,E_HiWageWk,D1B,D1C,D3A,D4A,D4B050,D4C,D4D,D5AR,D5AE,NatWalkInd,nearest station
0,37.8042236,-122.27715005,11084.0,1664.0,2208.0,1087.0,33120.0,4730.0,5453.0,22937.0,22.277067057500002,66.359459005,42.23265743166667,202.28416666666666,0.6710144487499999,71.02833333333332,707.0124906333332,1891149.0,1455141.0,16.972222222499997,12TH
1,37.769279193548385,-122.43601954838711,142973.0,20505.0,29075.0,14224.0,103479.0,14244.0,20339.0,68896.0,53.03914340274733,24.433092306703223,32.29676221618279,253.3484462365592,0.6522027970725807,30.318892473118275,697.1159182389783,16339411.0,11103193.0,16.600806451623658,16TH
2,37.81375454545455,-122.25983018181819,36177.0,4704.0,10569.0,4185.0,47570.0,6992.0,9447.0,31131.0,36.789518387954544,41.28106965534091,31.82263126462121,277.895303030303,0.23628104277272727,35.71181818181818,536.3607906737122,5676596.0,4534421.0,15.866161616818182,19TH
3,37.743145773076925,-122.40707489999998,104191.0,8018.0,16354.0,12794.0,39663.0,7690.0,12421.0,19552.0,41.75604499108975,9.285187386787822,32.89420301574359,232.86800000000005,0.6449837964743589,29.59279487179487,601.7872001005128,12070958.0,8385313.0,16.38237179526923,24TH
4,37.99123194615384,-121.78359925384615,70630.0,1142.0,5758.0,15314.0,13924.0,3702.0,4904.0,5318.0,10.648583006730767,1.7230901857692307,20.531431128673077,-99999.0,0.051374015371794875,-82049.64538461539,-82049.03348980901,1115714.0,1725648.0,8.331196581397435,ANTC
5,37.84905127857143,-122.27576078571427,47031.0,2693.0,9557.0,7511.0,19304.0,3880.0,4816.0,10608.0,23.961176514023805,8.100180162654762,30.456887611309522,257.3827976190476,0.432033565654762,18.811845238095238,249.6183009440476,6743180.0,5317925.0,16.25793650815476,ASHB
6,37.72921535652174,-122.45566823913043,123382.0,3871.0,13763.0,21748.0,16384.0,5010.0,5282.0,6092.0,35.50009750486398,4.243723314790787,29.80214867454452,-1839.354737060042,0.6625044928329193,-2147.353552795031,-1785.4974630307438,10236657.0,9095305.0,15.223033126111803,BALB
7,37.69425358888889,-122.12802455000002,92905.0,1949.0,9736.0,18912.0,21128.0,5134.0,6888.0,9106.0,16.566159686824072,2.531293309268518,24.243937171175926,-2272.098055555556,0.07275881588888888,10.115972222222222,66.0180470641713,8022463.0,7263135.0,13.201388888787037,BAYF
8,37.69626717500001,-122.07321883333331,61232.0,1276.0,6304.0,14890.0,11796.0,3246.0,4084.0,4466.0,12.698285672520834,2.9910467919138886,20.000183206433334,-5667.073972222221,0.14072031130694443,-1659.9864027777776,-1631.803447807067,4125921.0,3815354.0,13.455324075188889,CAST
9,37.78918821290322,-122.42822337419356,125375.0,32395.0,26639.0,9045.0,113812.0,19819.0,26697.0,67296.0,78.9350973728172,48.02252020569033,32.94462152510752,238.1066021505376,0.5316085794451614,-608.0409999999998,476.06829832973125,12481998.0,7388888.0,16.25116487483871,CIVC
10,37.67536452999999,-122.48139748999999,58683.0,1272.0,5478.0,11247.0,10580.0,2948.0,3430.0,4202.0,21.93488978226667,3.212617581126666,27.037100266541664,-89904.28275,0.11741411528333334,-94998.65,-94995.73022960899,4030812.0,3542588.0,9.172777777958332,COLM
11,37.76484709411765,-122.18366752352941,80369.0,3805.0,9079.0,11811.0,12904.0,2891.0,4247.0,5766.0,22.59705177428432,2.4354388908862745,26.516344998666664,360.82785294117645,0.47186606436274514,19.254656862745097,193.3510230020196,8835131.0,7838168.0,13.921078431656863,COLS
12,37.96536367058823,-122.02182864117648,98534.0,2651.0,11570.0,22132.0,47406.0,10084.0,14464.0,22858.0,17.301601548595805,4.995667547785014,22.693078673482486,-10750.590345938377,0.10302685294117649,-36002.04020028011,-35964.65345838559,4467214.0,4348330.0,13.113492063856022,CONC
13,37.71793955625,-122.477312875,89178.0,3761.0,10904.0,13264.0,20344.0,5676.0,5999.0,8669.0,36.07859204070834,5.86775007150625,31.29699215853125,-24977.944520833335,0.60498320271875,-21127.929802083334,-20955.64009394151,6331585.0,5791842.0,13.323090277431248,DALY
14,37.878134816666666,-122.26208111666669,50383.0,4784.0,6415.0,4972.0,28318.0,5741.0,6146.0,16431.0,36.51041033643056,12.955889385763887,28.698255604861114,236.39000000000001,0.22840379344444448,25.45805555555556,328.2960533315972,2563750.0,2077255.0,15.575231481180557,DBRK
15,37.93608392307692,-122.31307546153845,53456.0,1454.0,6688.0,11307.0,8027.0,2145.0,2666.0,3216.0,12.394249621256412,1.741082724466667,24.47947954094872,-4750.706794871795,0.16330327683333332,-7679.35494871795,-7580.3206892101925,5739683.0,5227536.0,13.712179486576925,DELN
16,37.692528425,-121.88557208333333,67474.0,844.0,5751.0,16211.0,53934.0,8834.0,11637.0,33463.0,10.241529309743056,4.8226931808958335,23.06104351880555,144.44069444444443,0.07114329679166667,-4850.5877083333335,-4841.663337492167,2394153.0,2063880.0,15.685185184930553,DUBL
17,37.8001816,-122.402089925,25970.0,5383.0,7279.0,1434.0,181995.0,15112.0,21432.0,145451.0,36.400646934499996,130.87219950083335,40.15369241270833,181.665625,0.8514443666458333,91.39645833333333,953.9198182583333,2437819.0,1152990.0,18.298611110833335,EMBR
